,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
0,-1,35189,-1_بنتي_الاطفال_الله_المدرسه,"['بنتي', 'الاطفال', 'الله', 'المدرسه', 'المركز', 'مره', 'الي', 'راءعه', 'الطفل', 'شي']","['استاذه', 'صراحه', 'حضانه', 'بصراحه', 'اطفالي', 'المدرسه', 'روضه', 'مرره', 'اشكر', 'ممتازه']","['انا خايفه بنتي لان اول مره تدخل حضانه حبيت قربها مكان عملي', 'والعاملات نفسيتهم تجنن الاطفال ماشاء الله تبارك الله الحمدلله اللي ربي', 'تقييمهم اكثر ان الطفل يستوعب']"
1,0,1920,0_الاستاذه_واخص_بالشكر_استاذه,"['الاستاذه', 'واخص', 'بالشكر', 'استاذه', 'للاستاذه', 'اشكر', 'واخص بالشكر', 'واشكر', 'المعلمه', 'خاص']","['واخص بالشكر', 'واخص بالذكر', 'اشكرها', 'الاستاذه نوره', 'اشكر استاذه', 'واخص', 'شكر خاص', 'مديره المدرسه', 'احب اشكر', 'اشكر']","['واخص بالشكر المعلمه', 'واخص بالشكر المعلمه نهي القاسم', 'واخص بالشكر المعلمه نوره العرجاني']"
2,1,1821,1_شكرا_الشكر_اشكرهم_شكر,"['شكرا', 'الشكر', 'اشكرهم', 'شكر', 'جزيل', 'جزيل الشكر', 'جهودكم', 'اشكركم', 'القاءمين', 'جهودهم']","['شكرا جزيلا', 'لجهودكم', 'اشكرهم', 'اشكركم', 'الشكر موصول', 'جهودكم', 'شكرا للجميع', 'شاكره', 'جزيل الشكر', 'عطاءكم']","['شكرا للطفكم', 'والرسميات شكرا', 'شكرا لطافتكم']"
3,2,1738,2_ومعلمات_راءعات_المعلمات_والمعلمات,"['ومعلمات', 'راءعات', 'المعلمات', 'والمعلمات', 'معلمات', 'متعاونات', 'لطيفات', 'حنونات', 'الموظفات', 'والموظفات']","['ومعلمات', 'معلماتهم', 'معلماتها', 'متمكنات', 'الاستاذات', 'ومدرسات', 'استاذات', 'راءعات', 'للمعلمات', 'والموظفات']","['ومعلمات راءعات', 'ومعلمات راءعات', 'ومعلمات راءعات']"
4,3,1177,3_مو_عشان_بنتي_اذا,"['مو', 'عشان', 'بنتي', 'اذا', 'شي', 'اي', 'يعني', 'او', 'اللي', 'تقول']","['اي شي', 'تبي', 'اشوف', 'ماراح', 'مافيه', 'ايش', 'انو', 'اجي', 'تروح', 'لاكن']","['والمعلمه تقول اجلس يصارخ ماراح اخذ بكلامه عشان مانظلم احد', 'وتحتاج تشجيع مو مراقبه كنهم حاطينها سجن مايبون الطفل يتحرك', 'اسالهم ليه ماتاكل بنتي اكلها حتي بالتصوير اصحابها الا مو ليش ماتاكل مافيه اي رد']"
5,4,1042,4_والده_ومس_تيتشر_واسلوبهم,"['والده', 'ومس', 'تيتشر', 'واسلوبهم', 'والوكيله', 'وم', 'واسلوبها', 'وع', 'سجلت بنتي', 'سجلت']","['والوكيله', 'الوكيله', 'وهالسنه', 'تيتشر', 'محروسه', 'وتقدم', 'ياسمين', 'وبالاخص', 'وخصوصا', 'الكي']","['والده بسمه', 'والده التوينز تيم', 'والده يارا']"
6,5,1002,5_متنوعه_الانشطه_انشطه_وانشطه,"['متنوعه', 'الانشطه', 'انشطه', 'وانشطه', 'انشطتهم', 'للاطفال', 'فعاليات', 'جميله', 'ممتعه', 'وانشطتهم']","['انشطه', 'الانشطه', 'وانشطه', 'وانشطتهم', 'متنوعه', 'ترفيهيه', 'المتنوعه', 'انشطتهم', 'كثيره', 'مختلفه']","['الانشطه متنوعه', 'الانشطه متنوعه', 'الانشطه متنوعه']"
7,6,911,6_وش_اقول_اللي_مو,"['وش', 'اقول', 'اللي', 'مو', 'تروح', 'شوي', 'شي', 'وحده', 'يوم', 'حبيت']","['تبي', 'يبي', 'وش', 'مدري', 'شفته', 'يحبهم', 'يعني', 'شي', 'وحبيت', 'حبيت']","['وش اقول', 'وش اقول', 'وش اقول']"
8,7,807,7_راءع_اكثر راءع_المركز راءع_مركز راءع,"['راءع', 'اكثر راءع', 'المركز راءع', 'مركز راءع', 'الراءع', 'اكثر', 'المكان راءع', 'مركز', 'رااءع', 'راءعين']","['تعليم راءع', 'المركز راءع', 'اكثر راءع', 'المكان راءع', 'مكان راءع', 'رااءع', 'راءع', 'طاقم راءع', 'مركز راءع', 'رااءعه']","['وحفل راءع', 'واداري راءع', 'وبسعر راءع']"
9,8,630,8_طفلي_لطفلي_طفلتي_اطفالي,"['طفلي', 'لطفلي', 'طفلتي', 'اطفالي', 'سجلت', 'وطفلي', 'لبنتي', 'ابنتي', 'الثاني', 'بطفلي']","['دخلت طفلي', 'ان طفلي', 'طفلي', 'لطفلي', 'اطفالي', 'وطفلي', 'بطفلي', 'ابناءي', 'اولادي', 'طفلتي']","['اضافو لشخصيه طفلي', 'السهل تلقيه طفلي', 'تفاعلها طفلي']"
