,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
0,-1,24431,-1_المدرسه_الاطفال_الطفل_مدرسه,"['المدرسه', 'الاطفال', 'الطفل', 'مدرسه', 'اشكر', 'معلمه', 'بنتي', 'استاذه', 'الاداره', 'او']","['مدرسه', 'مدرسه راءعه', 'المدرسه', 'الاطفال', 'الطفل', 'اطفال', 'طفلك', 'طفل', 'بالاطفال', 'اطفالي']","['مدرسه جميله', 'المدرسه سمعتها ممتازه', 'اذا نسي الطفل شي المدرسه يضيع']"
1,0,4150,0_الله_والله_خير_تبارك,"['الله', 'والله', 'خير', 'تبارك', 'يارب', 'ماشاء الله', 'ماشاء', 'يسعدهم', 'تبارك الله', 'شاء الله']","['الله يجزاهم', 'الله تبارك', 'تبارك الله', 'الله يبارك', 'جزاهم الله', 'الله يسعدهم', 'الله تبارك الله', 'ماشاء الله تبارك', 'الله يجزاهم خير', 'الله يوفقهم']","['وبيض الله', 'وفقهم الله يحبه', 'دعواتنا الله يديمهم']"
2,1,1287,1_المركز_مركز_مديره المركز_المركز راءع,"['المركز', 'مركز', 'مديره المركز', 'المركز راءع', 'راءع', 'بالمركز', 'مركز راءع', 'المركز مركز', 'مديره', 'للمركز']","['القاءمين المركز', 'المركز راءع', 'المركز', 'نظافه المركز', 'مركز', 'المركز مركز', 'المركز الي', 'للمركز', 'مركز راءع', 'مديره المركز']","['لمنسوبين المركز', 'المركز راع', 'واستانسوا المركز']"
3,2,1029,2_التعليم_تعليميه_تعليم_التعليميه,"['التعليم', 'تعليميه', 'تعليم', 'التعليميه', 'والتعليم', 'التعليمي', 'التدريس', 'وتعليمهم', 'وتعليم', 'وتدريس']","['ناحيه التعليم', 'التعليم', 'تعليم راءع', 'تعليم', 'للتعليم', 'والتعليم', 'تعليم ممتاز', 'وتعليم', 'التعليمي', 'بالتعليم']","['التعليم بجهه', 'التعليم المبسط', 'ومميزين التعليم']"
4,3,918,3_متنوعه_الانشطه_فعاليات_والفعاليات,"['متنوعه', 'الانشطه', 'فعاليات', 'والفعاليات', 'الفعاليات', 'والانشطه', 'انشطه', 'تنوع', 'الترفيه', 'وانشطه']","['وانشطه متنوعه', 'انشطه متنوعه', 'نشاطات متنوعه', 'تنوع الانشطه', 'ونشاطات', 'المتنوعه', 'وتنوع', 'النشاطات', 'والنشاطات', 'والفعاليات']","['والفعاليات متنوعه', 'الانشطه متنوعه', 'الانشطه متنوعه']"
5,4,881,4_التعليقات_اي_تعليق_الرد,"['التعليقات', 'اي', 'تعليق', 'الرد', 'الملاحظات', 'التعليق', 'ملاحظه', 'احد', 'التقييم', 'ملاحظات']","['التعليقات', 'تعليقي', 'التعليق', 'تعليق', 'ملاحظات', 'الملاحظات', 'نقد', 'اي ملاحظه', 'سلبيه', 'التقييم']","['استغرب التعليقات السلبيه انا', 'استغرب التعليقات السلبيه انا', 'استغرب التعليقات السلبيه']"
6,5,876,5_الله_بنتي_الحمدلله_ربي,"['الله', 'بنتي', 'الحمدلله', 'ربي', 'يسعدها', 'الاطفال', 'الله يسعدها', 'يسعدهم', 'والله', 'خير']","['الله يسعدهم', 'الله يجزاهم', 'الله يوفقهم', 'الله يجزاهم خير', 'الله يعطيهم', 'الله يجزاها', 'الله يوفقها', 'الله يسعدها', 'الاطفال جميل', 'الله تبارك الله']","['ونفع الله الاطفال', 'يحافون الله الاطفال', 'الله يحسن اليهم ماهم محسنين لهالصغار']"
7,6,856,6_المكان_مكان_والمكان_نظيف,"['المكان', 'مكان', 'والمكان', 'نظيف', 'مكان راءع', 'مرتب', 'جميل', 'ومكان', 'راءع', 'الموقع']","['المكان', 'والمكان', 'مكان', 'مكان راءع', 'نظافه المكان', 'المكان المناسب', 'للمكان', 'الموقع', 'موقع', 'اماكن']","['المكان', 'وفرحات ملات المكان', 'جربو المكان']"
8,7,798,7_بالشكر_للاستاذه_خاص_واشكر,"['بالشكر', 'للاستاذه', 'خاص', 'واشكر', 'واخص بالشكر', 'الاستاذه', 'واخص', 'وشكر', 'شكر', 'للمعلمه']","['اخص بالشكر', 'واخص بالشكر', 'وشكر خاص', 'شكر خاص', 'اشكر استاذه', 'والشكر موصول', 'جزيل الشكر', 'بالشكر', 'اشكر المديره', 'الاستاذه الفاضله']","['واخص بالشكر الاستاذه', 'واخص بالشكر الاستاذه بسنت معلمه', 'واخص بالشكر للاستاذه شاهيناز']"
9,8,785,8_سنتين_شهور_رقم شهور_سنوات,"['سنتين', 'شهور', 'رقم شهور', 'سنوات', 'عمره', 'عمرها', 'رقم', 'رقم سنوات', 'عمر', 'ثلاث']","['رقم شهور', 'الشهر', 'عمره رقم', 'شهور', 'رقم سنين', 'رقم سنوات', 'بعمر رقم', 'اشهر', 'الشهري', 'بنتي رقم']","['بنتي حطيتها عمر رقم شهور الحين عمره رقم شهور', 'عمرها رقم شهور', 'بنتي عمرها رقم شهور']"
