,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
0,-1,37997,-1_المدرسه_الاطفال_المركز_الي,"['المدرسه', 'الاطفال', 'المركز', 'الي', 'الطفل', 'ان', 'شكرا', 'المكان', 'رقم', 'او']","['سيءه', 'المدرسه', 'الروضه', 'المعلمه', 'الاستاذه', 'النظافه', 'الطاقم', 'مرتاحه', 'الحمدلله', 'الراءعه']","['بنتي الان تقريبا بتكمل معاهم سنه الحمدلله ان ربي', 'المدرسه روعه اهتمام بالطالب يدخل المدرسه الي ان يخرج الصراحه اشكر الاداره', 'اللي مكتوب روضه الرواد او اسيا']"
1,0,6396,0_الله_تبارك_تبارك الله_بنتي,"['الله', 'تبارك', 'تبارك الله', 'بنتي', 'ماشاء', 'ماشاء الله', 'الله يسعدهم', 'خير', 'يسعدهم', 'اني']","['تبارك الله', 'الله يسعدها', 'الله يسعدهم', 'باذن الله', 'الله خير', 'شاء الله', 'ماشاء الله', 'الحمد لله', 'الروضه', 'الله']","['ماشاءلله تبارك الله الله يطرح البركه', 'شاء الله تبارك الله', 'شاء الله تبارك الله حنوونه الاطفال']"
2,1,1362,1_انه_انهم_ان_او,"['انه', 'انهم', 'ان', 'او', 'الطفل', 'انها', 'حتي', 'يعني', 'اذا', 'بسبب']","['يهتمون', 'الروضه', 'يصورون', 'المدرسه', 'اطفالهم', 'للطفل', 'الطلاب', 'التسجيل', 'المعلمات', 'المبلغ']","['انه ينزع بركه المال', 'متاكده انه بيتلقي الاعتناء', 'انه يقضي معظم']"
3,2,723,2_الاستاذه_مديره_استاذه_القحطاني,"['الاستاذه', 'مديره', 'استاذه', 'القحطاني', 'بالشكر', 'مديره المدرسه', 'واخص', 'والاستاذه', 'لاستاذه', 'خاص']","['الاستاذه مها', 'الاستاذه منال', 'الاستاذه ساره', 'اشكر الاستاذه', 'الاستاذه', 'بالشكر استاذه', 'استاذه مها', 'مديره المدرسه', 'استاذه فاطمه', 'واخص بالشكر']","['شكرا المديره الفاضله الاستاذه حزوي ابا الجيش', 'ووكيله المدرسه الاستاذه البندري', 'واخص الاستاذه مريم مجرشي مديره المدرسه']"
4,3,646,3_مركز_المركز_مركز راءع_راءع,"['مركز', 'المركز', 'مركز راءع', 'راءع', 'متكامل', 'مركز جميل', 'المركز اكثر', 'مركز ممتاز', 'جميل', 'شكرا مركز']","['مركز راءع', 'مركز سماءي', 'المركز راءع', 'النواحي نظافه', 'شكرا القاءمين', 'النواحي', 'الجميله', 'مركز اكثر', 'بيت الحنان', 'الصراحه']","['مماشاء الله مركز راءع', 'مركز يدار بشغف', 'الاخوه القامون مركز الرواد الاذكياء']"
5,4,637,4_ام_القحطاني_جزيل الشكر_العتيبي,"['ام', 'القحطاني', 'جزيل الشكر', 'العتيبي', 'جزيل', 'الدوسري', 'احمد', 'عبدالله', 'الشكر', 'الشهري']","['ام سعود', 'الحارس', 'القحطاني', 'الخبره', 'المربيه', 'الجوهره', 'البدايه', 'الارقام', 'الرعايه', 'الادعيه']","['ام عبدالعزيز', 'ام نوره القحطاني', 'ام ارجوان القحطاني']"
6,5,621,5_طاقم_التعليم_تعليمي_تعليم,"['طاقم', 'التعليم', 'تعليمي', 'تعليم', 'اداري', 'وتعليم', 'التعليمي', 'والتعليم', 'العمل', 'وطاقم']","['طاقم', 'طاقم تعليمي', 'طاقم اداري', 'طاقم العمل', 'طاقم راءع', 'مستمر', 'الطاقم التعليمي', 'وطاقم', 'الطاقم', 'المميز']","['طاقم ممتاز', 'طاقم ممتاز', 'طاقم التعليم']"
7,6,560,6_الاطفال_كانهم_العافيه_يشكرون,"['الاطفال', 'كانهم', 'العافيه', 'يشكرون', 'يعطيهم', 'يعطيهم العافيه', 'المستوي', 'معاه', 'والطفل', 'كانوا']","['يعطيهم العافيه', 'يعطيهم', 'ويعلمونهم', 'يعطون', 'يقدمونه', 'يحطون', 'تستحق الشكر', 'يستحقون', 'يحتاجون', 'يستقبلون']","['يعطيهم العافيه', 'يعطيهم العافيه قصرو', 'يعطيهم العافيه']"
8,7,550,7_ويسعدهم_ويوفقها_جهودهم_ورعايتهم,"['ويسعدهم', 'ويوفقها', 'جهودهم', 'ورعايتهم', 'واحتواءهم', 'وجهودهم', 'يارب', 'وانشطتهم', 'دنيا', 'رسومها']","['ويسعدهم', 'وتعليمهم', 'واحتواءهم', 'ويعلمونهم', 'لجهودهم', 'واستقبالهم', 'لوحدهم', 'واحتواءها', 'ورعايتهم', 'واشكرهم']","['ويسعدهم', 'ويسعدهم', 'ويسعدهم']"
9,8,550,8_للاطفال_اطفال_رياض اطفال_مناسب,"['للاطفال', 'اطفال', 'رياض اطفال', 'مناسب', 'رياض', 'فعاليات', 'وممتع', 'مكان', 'مناسبه', 'امن للاطفال']","['للاطفال', 'امن للاطفال', 'للاطفال تعليم', 'اطفالي', 'للطلاب', 'رياض اطفال', 'روضه اطفال', 'اطفال', 'للمكان', 'لاطفال']","['واحتوي للاطفال', 'للاطفال', 'ومهيا للاطفال']"
